077 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
078 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
079 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
080 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
081 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
082 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
083 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
084 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
085 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
086 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
087 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
088 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
089 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
090 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
091 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
092 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
093 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
094 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
095 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
096 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
097 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
098 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
099 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
100 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
101 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
102 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
103 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
104 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
105 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
106 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
107 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
108 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
109 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
110 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
111 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
112 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
113 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
114 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
115 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
116 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
117 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
118 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
119 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
120 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
121 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
122 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
123 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
124 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
125 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
126 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
127 1REGION 1              1DISTRICT 1            1COUNTY 1              11 5
